strategy,symbol,entry_date,expiration_date,spot_price,short_strike,long_strike,short_call_strike,long_call_strike,credit,max_loss,theoretical_pop,iv_rank,iv_at_entry,exit_price,pnl,won,reason
iron_condor,LII,2025-11-17,2025-12-31,459.89,430.0,420.0,510.0,520.0,3.390551673921541,660.9448326078459,0.5910722368215322,0.3069819614416114,0.35098537,485.58,339.0551673921541,True,Expired between short strikes
iron_condor,DELL,2025-11-17,2025-12-31,122.48,110.0,105.0,140.0,145.0,2.170454530446891,282.9545469553109,0.47870700553734036,0.6079834132393885,0.64710844,125.88,217.0454530446891,True,Expired between short strikes
iron_condor,IT,2025-11-17,2025-12-31,226.89,210.0,200.0,250.0,260.0,3.522925228643091,647.7074771356909,0.5334580184802993,0.5216900103410703,0.41343568,252.28,124.29252286430898,True,Call side partial loss
iron_condor,TAP,2025-11-17,2025-12-31,45.62,43.0,42.0,49.0,50.0,0.26803697207009064,73.19630279299093,0.5761546855704874,0.36481539462248364,0.28291548,46.68,26.803697207009066,True,Expired between short strikes
iron_condor,GIS,2025-11-17,2025-12-31,46.97,45.0,44.0,50.0,51.0,0.37606999585366024,62.39300041463398,0.4616608419717838,0.5844717037528915,0.29490073,46.5,37.606999585366026,True,Expired between short strikes
iron_condor,ERIE,2025-11-17,2025-12-31,287.28,270.0,260.0,310.0,320.0,3.6968664488612415,630.3133551138759,0.5177984028707903,0.36103533108965036,0.34034945,286.65,369.68664488612416,True,Expired between short strikes
iron_condor,AZO,2025-11-17,2025-12-31,3855.26,3640.0,3520.0,4130.0,4250.0,47.3156007493955,7268.43992506045,0.5038447917022261,0.5978213998210847,0.32177627,3391.5,-7268.43992506045,False,Put side max loss
iron_condor,HD,2025-11-17,2025-12-31,358.03,340.0,330.0,390.0,400.0,3.4567827694466384,654.3217230553362,0.5549447736885789,0.4107053086810986,0.30466355,344.1,345.6782769446638,True,Expired between short strikes
iron_condor,BLDR,2025-11-17,2025-12-31,99.42,90.0,85.0,115.0,120.0,1.493270196312368,350.6729803687632,0.5928197094168357,0.3527247836138005,0.50217418,102.89,149.3270196312368,True,Expired between short strikes
iron_condor,GDDY,2025-11-17,2025-12-31,125.19,115.0,110.0,135.0,140.0,1.4346351671151218,356.53648328848783,0.5926211500335721,0.3310532915200036,0.33752379,124.08,143.46351671151217,True,Expired between short strikes
iron_condor,CPRT,2025-11-17,2025-12-31,41.33,39.0,38.0,45.0,46.0,0.4064631695796664,59.35368304203337,0.44518395723591464,0.9777665418456568,0.41634072,39.15,40.64631695796664,True,Expired between short strikes
iron_condor,CAG,2025-11-17,2025-12-31,17.12,16.0,15.0,19.0,20.0,0.139496600612735,86.05033993872651,0.641203401041565,0.4924649803361231,0.31691868,17.31,13.9496600612735,True,Expired between short strikes
iron_condor,LEN,2025-11-17,2025-12-31,114.1,105.0,100.0,125.0,130.0,1.9228324334261995,307.7167566573801,0.4971140230209084,0.5268927720413542,0.45178849,102.8,-27.716756657380337,False,Put side partial loss
iron_condor,JBL,2025-11-17,2025-12-31,200.46,180.0,170.0,230.0,240.0,3.109084336645706,689.0915663354294,0.5900664077169602,0.5489485783757486,0.51095278,228.02,310.9084336645706,True,Expired between short strikes
