entry_date,expiration,exit_date,spot,vix,iv_rank,iv_tier,short_delta,short_put,long_put,put_width,credit,max_loss,pnl,won,exit_reason,side_breached,data_source,dte,sma_value,sma_period,sma_filter_active,stop_loss_mult
2021-09-28,2021-10-27,2021-10-07,408.827880859375,23.25,0.3245,medium,0.2,390.0,380.0,10.0,0.48,952.0,30.0,True,take_profit,,thetadata,29,406.81,100,True,2.0
2021-12-01,2021-12-31,2021-12-07,424.6448059082031,31.1200008392334,0.7257,very_high,0.3,408.0,395.0,13.0,1.01,1199.0,76.0,True,take_profit,,thetadata,30,421.35,100,True,2.0
2022-09-12,2022-10-12,2022-10-11,391.63671875,23.8700008392334,0.4132,medium,0.2,372.0,360.0,12.0,3.22,878.0,-741.0,False,stop_loss,put,thetadata,30,382.36,100,True,2.0
2023-03-20,2023-04-19,2023-04-11,379.93316650390625,24.149999618530273,0.372,medium,0.2,361.0,350.0,11.0,0.01,1099.0,-2.0,False,stop_loss,,thetadata,30,378.94,100,True,2.0
2024-04-09,2024-05-09,2024-05-03,508.36614990234375,14.979999542236328,0.3019,medium,0.2,492.0,475.0,17.0,0.63,1637.0,58.0,True,take_profit,,thetadata,30,475.96,100,True,2.0
2024-04-23,2024-05-23,2024-05-16,494.9844970703125,15.6899995803833,0.3755,medium,0.2,480.0,465.0,15.0,0.05,1495.0,3.0,True,take_profit,,thetadata,30,481.41,100,True,2.0
2024-07-19,2024-08-19,2024-08-08,539.1441040039062,16.520000457763672,0.4731,medium,0.2,520.0,504.0,16.0,8.33,767.0,605.0,True,take_profit,,thetadata,31,514.89,100,True,2.0
2024-08-02,2024-08-30,2024-08-13,523.3427124023438,23.389999389648438,1.0,very_high,0.3,509.0,493.0,16.0,1.76,1424.0,118.0,True,take_profit,,thetadata,28,518.6,100,True,2.0
2024-08-09,2024-09-09,2024-08-30,523.4310302734375,20.3700008392334,0.3186,medium,0.2,500.0,485.0,15.0,0.02,1498.0,1.0,True,take_profit,,thetadata,31,519.23,100,True,2.0
2025-11-18,2025-12-18,2025-12-11,658.1353149414062,24.690000534057617,0.3013,medium,0.2,625.0,605.0,20.0,0.11,1989.0,8.0,True,take_profit,,thetadata,30,648.88,100,True,2.0
