entry_date,expiration,exit_date,spot,vix,iv_rank,iv_tier,short_delta,put_delta,call_delta,call_delta_offset,long_put,short_put,short_call,long_call,credit,max_loss,pnl,won,exit_reason,side_breached,put_width,call_width,data_source,dte
2022-02-15,2022-03-16,2022-03-09,421.9747009277344,25.700000762939453,0.6307,high,0.25,0.25,0.18,-0.07,391.0,404.0,455.0,468.0,3.66,934.0,264.0,True,take_profit,,13.0,13.0,thetadata,29
2022-02-23,2022-03-25,2022-03-14,399.1307678222656,31.020000457763672,0.9445,very_high,0.3,0.3,0.23,-0.07,372.0,384.0,430.0,442.0,6.95,505.0,407.0,True,take_profit,,12.0,12.0,thetadata,30
2022-03-02,2022-04-01,2022-03-15,414.20867919921875,30.739999771118164,0.8591,very_high,0.3,0.3,0.23,-0.07,386.0,398.0,447.0,459.0,5.57,643.0,301.0,True,take_profit,,12.0,12.0,thetadata,30
2022-03-09,2022-04-08,2022-03-25,404.2954406738281,32.45000076293945,0.8134,very_high,0.3,0.3,0.23,-0.07,377.0,389.0,436.0,448.0,3.21,879.0,-667.0,False,stop_loss,,12.0,12.0,thetadata,30
2022-03-16,2022-04-14,2022-03-29,412.0614013671875,26.670000076293945,0.5438,high,0.25,0.25,0.18,-0.07,382.0,394.0,444.0,456.0,4.59,741.0,-572.0,False,stop_loss,,12.0,12.0,thetadata,29
2022-03-23,2022-04-22,2022-04-13,421.1031799316406,23.56999969482422,0.3993,medium,0.2,0.2,0.13,-0.07,387.0,400.0,457.0,470.0,4.44,856.0,409.0,True,take_profit,,13.0,13.0,thetadata,30
2022-04-06,2022-05-06,2022-04-28,423.6840515136719,22.100000381469727,0.3307,medium,0.2,0.2,0.13,-0.07,391.0,404.0,457.0,470.0,2.17,1083.0,111.0,True,take_profit,,13.0,13.0,thetadata,30
2022-04-13,2022-05-13,2022-04-25,420.6382141113281,21.81999969482422,0.3176,medium,0.2,0.2,0.13,-0.07,388.0,401.0,454.0,467.0,4.26,874.0,245.0,True,take_profit,,13.0,13.0,thetadata,30
2022-04-21,2022-05-20,2022-05-04,415.6567687988281,22.68000030517578,0.3577,medium,0.2,0.2,0.13,-0.07,384.0,396.0,451.0,463.0,3.25,875.0,191.0,True,take_profit,,12.0,12.0,thetadata,29
2022-05-05,2022-06-03,2022-05-23,392.64691162109375,31.200000762939453,0.7551,very_high,0.3,0.3,0.23,-0.07,365.0,377.0,423.0,435.0,3.78,822.0,231.0,True,take_profit,,12.0,12.0,thetadata,29
2022-05-12,2022-06-10,2022-06-10,372.2748718261719,31.770000457763672,0.7817,very_high,0.3,0.3,0.23,-0.07,348.0,358.0,401.0,412.0,6.03,497.0,603.0,True,expiration,,10.0,11.0,thetadata,29
2022-05-19,2022-06-17,2022-06-10,369.5422668457031,29.350000381469727,0.6688,high,0.25,0.25,0.18,-0.07,340.0,352.0,401.0,412.0,4.39,761.0,263.0,True,take_profit,,12.0,11.0,thetadata,29
2022-06-03,2022-07-01,2022-06-24,389.544189453125,24.790000915527344,0.4562,medium,0.2,0.2,0.13,-0.07,358.0,370.0,426.0,438.0,3.02,898.0,244.0,True,take_profit,,12.0,12.0,thetadata,28
2022-06-10,2022-07-11,2022-06-29,369.8648681640625,27.75,0.5942,high,0.25,0.25,0.18,-0.07,342.0,353.0,402.0,413.0,1.85,915.0,103.0,True,take_profit,,11.0,11.0,thetadata,31
2022-06-17,2022-07-18,2022-07-18,348.6487731933594,31.1299991607666,0.7519,very_high,0.3,0.3,0.23,-0.07,325.0,335.0,376.0,386.0,4.12,588.0,412.0,True,expiration,,10.0,10.0,thetadata,31
2022-06-27,2022-07-27,2022-07-26,370.3094787597656,26.950000762939453,0.5569,high,0.25,0.25,0.18,-0.07,343.0,354.0,399.0,410.0,1.29,971.0,87.0,True,take_profit,,11.0,11.0,thetadata,30
2022-07-05,2022-08-03,2022-07-29,363.9913635253906,27.540000915527344,0.5844,high,0.25,0.25,0.18,-0.07,336.0,347.0,395.0,406.0,3.01,799.0,-741.0,False,stop_loss,,11.0,11.0,thetadata,29
2022-07-12,2022-08-10,2022-07-29,362.91455078125,27.290000915527344,0.5728,high,0.25,0.25,0.18,-0.07,335.0,346.0,393.0,404.0,3.91,709.0,-572.0,False,stop_loss,,11.0,11.0,thetadata,29
2022-07-19,2022-08-17,2022-08-11,373.8163146972656,24.5,0.4426,medium,0.2,0.2,0.13,-0.07,345.0,355.0,407.0,418.0,2.94,806.0,-625.0,False,stop_loss,,10.0,11.0,thetadata,29
2022-07-26,2022-08-24,2022-08-12,372.5013122558594,24.690000534057617,0.4515,medium,0.2,0.2,0.13,-0.07,345.0,354.0,407.0,418.0,2.04,896.0,-807.0,False,stop_loss,call,9.0,11.0,thetadata,29
2022-08-02,2022-08-31,2022-08-26,388.8635559082031,23.93000030517578,0.416,medium,0.2,0.2,0.13,-0.07,357.0,369.0,422.0,434.0,2.54,946.0,242.0,True,take_profit,,12.0,12.0,thetadata,29
2022-08-09,2022-09-07,2022-08-31,391.998779296875,21.770000457763672,0.3153,medium,0.2,0.2,0.13,-0.07,362.0,374.0,423.0,435.0,0.48,1152.0,27.0,True,take_profit,,12.0,12.0,thetadata,29
2022-08-23,2022-09-21,2022-09-16,392.9517517089844,24.110000610351562,0.4244,medium,0.2,0.2,0.13,-0.07,361.0,373.0,427.0,439.0,3.05,895.0,225.0,True,take_profit,,12.0,12.0,thetadata,29
2022-08-30,2022-09-28,2022-09-16,379.47698974609375,26.209999084472656,0.5224,high,0.25,0.25,0.18,-0.07,352.0,363.0,409.0,420.0,3.52,748.0,242.0,True,take_profit,,11.0,11.0,thetadata,29
2022-09-07,2022-10-07,2022-10-04,379.0671691894531,24.639999389648438,0.4492,medium,0.2,0.2,0.13,-0.07,349.0,360.0,413.0,424.0,0.65,1035.0,35.0,True,take_profit,,11.0,11.0,thetadata,30
2022-09-14,2022-10-14,2022-10-14,376.0367431640625,26.15999984741211,0.5201,high,0.25,0.25,0.18,-0.07,349.0,360.0,405.0,416.0,0.61,1039.0,-1039.0,False,expiration,put,11.0,11.0,thetadata,30
2022-09-21,2022-10-21,2022-10-07,361.11370849609375,27.989999771118164,0.6054,high,0.25,0.25,0.18,-0.07,333.0,344.0,392.0,403.0,3.92,708.0,232.0,True,take_profit,,11.0,11.0,thetadata,30
2022-09-28,2022-10-28,2022-10-14,354.5495300292969,30.18000030517578,0.7076,very_high,0.3,0.3,0.23,-0.07,330.0,341.0,381.0,392.0,4.66,634.0,251.0,True,take_profit,,11.0,11.0,thetadata,30
2022-10-05,2022-11-04,2022-11-01,360.82659912109375,28.549999237060547,0.6315,high,0.25,0.25,0.18,-0.07,333.0,344.0,392.0,403.0,5.27,573.0,368.0,True,take_profit,,11.0,11.0,thetadata,30
2022-10-12,2022-11-11,2022-11-10,341.1820373535156,33.56999969482422,0.8657,very_high,0.3,0.3,0.23,-0.07,320.0,328.0,371.0,381.0,3.98,602.0,-643.0,False,stop_loss,call,8.0,10.0,thetadata,30
