entry_date,exit_date,expiration,strike,quantity,entry_price,exit_price,pnl_pct,pnl_dollar,days_held,exit_reason,contract_cost,entry_delta,entry_spot,entry_sma200,entry_pct_above_sma,entry_std_above_sma,entry_trailing_12m_return
2017-12-07,2018-01-17,2018-04-20,137.0,1,19.36,29.36,0.5165289256198347,1000.0,26,PT,1936.0,0.8032504727800241,145.86434936523438,133.9573210144043,0.08888673094283309,12.641567822454112,0.31428023055324017
2017-12-08,2018-01-17,2018-04-20,138.0,1,18.69,28.4,0.519529159978598,970.9999999999998,25,PT,1869.0000000000002,0.815486939872489,146.50836181640625,134.0773434829712,0.09271527918521057,13.257599178053542,0.31774504037712625
2017-12-12,2018-01-17,2018-04-20,141.0,1,16.85,25.54,0.5157270029673588,868.9999999999998,23,PT,1685.0000000000002,0.7904089748737992,147.44593811035156,134.32813495635986,0.09765491911469906,13.565409649911649,0.32182966456596485
2017-12-14,2018-01-17,2018-04-20,141.0,1,16.99,25.54,0.5032371983519719,855.0000000000002,21,PT,1698.9999999999998,0.8038097162032285,147.6259002685547,134.57188243865966,0.09700405161416459,13.81131614570323,0.3096816673608904
2017-11-27,2018-01-19,2018-03-16,141.0,1,16.97,25.81,0.5209192692987625,884.0,36,PT,1697.0,0.8093655658260999,147.91946411132812,132.98943435668946,0.11226478123513935,22.65426077752716,0.3278611054037395
2017-12-11,2018-01-19,2018-04-20,141.0,1,17.13,25.99,0.5172212492702861,886.0,26,PT,1713.0,0.799561085979368,147.64479064941406,134.20229591369628,0.10016590732816134,13.941033708697441,0.3176317255679517
2017-12-13,2018-01-19,2018-04-20,141.0,1,17.14,25.99,0.5163360560093349,885.0,24,PT,1714.0,0.8000158175242875,147.73004150390625,134.4487172317505,0.09878357001549234,13.848684655028213,0.30788548020296624
2017-12-29,2018-01-19,2018-04-20,140.0,1,17.74,26.93,0.5180383314543406,919.0000000000002,13,PT,1773.9999999999998,0.791192030844831,147.82070922851562,135.85911727905273,0.08804408705890497,16.0377933437344,0.3130045497020233
2017-12-15,2018-01-22,2018-04-20,143.0,1,17.16,25.82,0.5046620046620047,866.0,23,PT,1716.0,0.8025029201848874,149.3021240234375,134.70230010986327,0.1083858545968896,15.696796688244266,0.3224623242414586
2017-12-27,2018-01-22,2018-04-20,141.0,1,17.85,27.72,0.552941176470588,986.9999999999998,16,PT,1785.0000000000002,0.802458813791752,148.5609130859375,135.61822700500488,0.09543470938058332,13.798963743104846,0.3074560714979704
2018-02-08,2018-03-09,2018-06-15,127.0,1,30.37,46.4,0.5278235100428053,1603.0,20,PT,3037.0,0.8035174306635898,145.6284637451172,140.14844791412352,0.03910150923934288,2.332323283937435,0.22410057423240626
