entry_date,expiration,exit_date,spot,vix,iv_rank,iv_tier,short_delta,short_put,long_put,put_width,credit,max_loss,pnl,won,exit_reason,side_breached,data_source,dte,sma_value,sma_period,sma_filter_active,stop_loss_mult
2020-10-28,2020-11-27,2020-11-04,303.6351318359375,40.279998779296875,0.4039,medium,0.2,280.0,270.0,10.0,0.69,931.0,53.0,True,take_profit,,thetadata,30,,0,False,2.0
2021-09-21,2021-10-20,2021-09-23,408.7430419921875,24.360000610351562,0.3685,medium,0.2,388.0,375.0,13.0,0.64,1236.0,42.0,True,take_profit,,thetadata,29,,0,False,2.0
2021-09-28,2021-10-27,2021-10-07,408.827880859375,23.25,0.3245,medium,0.2,390.0,380.0,10.0,0.48,952.0,30.0,True,take_profit,,thetadata,29,,0,False,2.0
2021-12-01,2021-12-31,2021-12-07,424.6448059082031,31.1200008392334,0.7257,very_high,0.3,408.0,395.0,13.0,1.01,1199.0,76.0,True,take_profit,,thetadata,30,,0,False,2.0
2022-01-21,2022-02-18,2022-01-31,414.29376220703125,28.850000381469727,0.6234,high,0.25,395.0,383.0,12.0,0.81,1119.0,51.0,True,take_profit,,thetadata,28,,0,False,2.0
2022-02-04,2022-03-07,2022-02-23,424.4340515136719,23.219999313354492,0.4844,medium,0.2,405.0,392.0,13.0,0.54,1246.0,-123.0,False,stop_loss,put,thetadata,31,,0,False,2.0
2022-02-18,2022-03-21,2022-03-15,410.74658203125,27.75,0.7516,very_high,0.3,396.0,384.0,12.0,0.71,1129.0,42.0,True,take_profit,,thetadata,31,,0,False,2.0
2022-03-14,2022-04-13,2022-03-15,394.4483947753906,31.770000457763672,0.7817,very_high,0.3,379.0,365.0,14.0,0.13,1387.0,-92.0,False,stop_loss,,thetadata,30,,0,False,2.0
2022-03-21,2022-04-20,2022-04-13,421.6629943847656,23.530000686645508,0.3974,medium,0.2,400.0,387.0,13.0,1.69,1131.0,165.0,True,take_profit,,thetadata,30,,0,False,2.0
2022-04-26,2022-05-25,2022-05-23,394.8197326660156,33.52000045776367,0.8633,very_high,0.3,379.0,367.0,12.0,1.28,1072.0,114.0,True,take_profit,,thetadata,29,,0,False,2.0
2022-05-03,2022-06-01,2022-05-25,395.08551025390625,29.25,0.6642,high,0.25,377.0,365.0,12.0,1.39,1061.0,89.0,True,take_profit,,thetadata,29,,0,False,2.0
2022-05-10,2022-06-08,2022-05-17,378.67974853515625,32.9900016784668,0.8386,very_high,0.3,364.0,353.0,11.0,1.41,959.0,102.0,True,take_profit,,thetadata,29,,0,False,2.0
2022-05-17,2022-06-15,2022-05-27,387.43768310546875,26.100000381469727,0.5173,high,0.25,371.0,359.0,12.0,0.86,1114.0,56.0,True,take_profit,,thetadata,29,,0,False,2.0
2022-05-24,2022-06-22,2022-05-27,373.7456970214844,29.450000762939453,0.6735,high,0.25,356.0,345.0,11.0,0.87,1013.0,64.0,True,take_profit,,thetadata,29,,0,False,2.0
2022-06-01,2022-07-01,2022-06-07,388.6427307128906,25.690000534057617,0.4981,medium,0.2,367.0,355.0,12.0,0.77,1123.0,41.0,True,take_profit,,thetadata,30,,0,False,2.0
