entry_date,expiration,exit_date,spot,vix,iv_rank,iv_tier,short_delta,long_put,short_put,short_call,long_call,credit,max_loss,pnl,won,exit_reason,side_breached,put_width,call_width,data_source,dte
2023-10-23,2023-11-22,2023-11-14,408.6596984863281,20.3700008392334,0.4433,medium,0.2,379.0,391.0,431.0,443.0,6.89,511.0,-447.0,False,stop_loss,call,12.0,12.0,thetadata,30
2024-04-09,2024-05-09,2024-05-03,508.36614990234375,14.979999542236328,0.3019,medium,0.2,475.0,492.0,530.0,540.0,0.75,1625.0,68.0,True,take_profit,,17.0,10.0,thetadata,30
2024-04-16,2024-05-16,2024-05-15,492.90924072265625,18.399999618530273,0.6566,high,0.25,463.0,478.0,514.0,529.0,3.69,1131.0,-1052.0,False,stop_loss,call,15.0,15.0,thetadata,30
2024-04-23,2024-05-23,2024-05-21,494.9844970703125,15.6899995803833,0.3755,medium,0.2,465.0,480.0,516.0,531.0,7.14,786.0,-627.0,False,stop_loss,call,15.0,15.0,thetadata,30
2024-07-19,2024-08-19,2024-08-08,539.14404296875,16.520000457763672,0.4731,medium,0.2,504.0,520.0,565.0,580.0,8.28,772.0,595.0,True,take_profit,,16.0,15.0,thetadata,31
2024-08-02,2024-08-30,2024-08-30,523.3427124023438,23.389999389648438,1.0,very_high,0.3,493.0,509.0,546.0,562.0,6.06,994.0,-151.06,False,expiration,call,16.0,16.0,thetadata,28
2024-08-09,2024-09-09,2024-09-04,523.4310913085938,20.3700008392334,0.3186,medium,0.2,485.0,500.0,552.0,568.0,9.23,677.0,571.0,True,take_profit,,15.0,16.0,thetadata,31
2024-10-07,2024-11-06,2024-11-05,559.3271484375,22.639999389648438,0.4036,medium,0.2,515.0,533.0,594.0,610.0,1.22,1678.0,107.0,True,take_profit,,18.0,16.0,thetadata,30
2024-11-04,2024-12-04,2024-12-04,561.30712890625,21.979999542236328,0.3789,medium,0.2,520.0,530.0,596.0,613.0,3.53,1347.0,93.77,True,expiration,call,10.0,17.0,thetadata,30
2025-03-04,2025-04-03,2025-03-25,570.1644897460938,23.510000228881836,0.4362,medium,0.2,526.0,543.0,610.0,625.0,1.69,1531.0,145.0,True,take_profit,,17.0,15.0,thetadata,30
2025-03-11,2025-04-10,2025-04-10,549.467529296875,26.920000076293945,0.5638,high,0.25,510.0,526.0,584.0,600.0,1.36,1464.0,-458.9,False,expiration,put,16.0,16.0,thetadata,30
2025-03-18,2025-04-17,2025-04-01,554.50830078125,21.700000762939453,0.3684,medium,0.2,512.0,529.0,589.0,606.0,3.31,1369.0,173.0,True,take_profit,,17.0,17.0,thetadata,30
2025-04-08,2025-05-08,2025-05-02,492.193603515625,52.33000183105469,1.0,very_high,0.3,445.0,460.0,542.0,557.0,7.53,747.0,-597.0,False,stop_loss,call,15.0,15.0,thetadata,30
2025-04-15,2025-05-15,2025-05-06,532.9684448242188,30.1200008392334,0.4512,medium,0.2,484.0,500.0,579.0,595.0,3.22,1278.0,231.0,True,take_profit,,16.0,16.0,thetadata,30
2025-04-23,2025-05-23,2025-05-15,530.79736328125,28.450000762939453,0.4099,medium,0.2,485.0,500.0,572.0,588.0,2.89,1311.0,-1023.0,False,stop_loss,call,15.0,16.0,thetadata,30
2025-04-30,2025-05-30,2025-05-30,549.7523193359375,24.700000762939453,0.3173,medium,0.2,506.0,522.0,588.0,604.0,3.04,1296.0,304.0,True,expiration,,16.0,16.0,thetadata,30
2025-11-18,2025-12-18,2025-12-09,658.1353149414062,24.690000534057617,0.3013,medium,0.2,605.0,625.0,704.0,725.0,0.76,2024.0,40.0,True,take_profit,,20.0,21.0,thetadata,30
